role,parts
user,"[{""type"":""text"",""text"":""hi, wie gehts?""}]"
user,"[{""type"":""text"",""text"":""Wie viele Ergebnisberichte sind in der FNR-Moor-Projektdatenbank?""}]"
user,"[{""type"":""text"",""text"":""Du hörst bei 2.3. auf?""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Diese Unterscheidung lässt sich gut aus dem Portfolio-Wissen beantworten — ein Tool-Abruf ist hier nicht nötig, da die Frage das Förderportfolio strukturell betrifft, nicht konkrete Projektergebnisse.\n\n---\n\n## MuD vs. FuE im FNR-Moor-Portfolio\n\n### Grundlegende Logik\n\n| Merkmal | MuD-Vorhaben | FuE-Vorhaben |\n|---|---|---|\n| **Primärziel** | Überführung bekannter Verfahren in die Praxis | Entwicklung, Prüfung und Optimierung neuer Verfahren |\n| **Erkenntnisanspruch** | Demonstration und Verbreitung | Wissensgewinn und Verfahrensentwicklung |\n| **Maßstab** | Praxis- und Landschaftsmaßstab | Labor bis technischer Maßstab |\n| **Zielgruppe** | Betriebe, Regionen, Landnutzer | Wissenschaft, Fachwelt, nachfolgende Projekte |\n| **Zeithorizont** | Teils sehr lang (bis 9 Jahre, dreiphasig) | Typisch kürzer, projektabschluss-orientiert |\n\n---\n\n### MuD-Vorhaben: Umsetzung und Akzeptanz im Vordergrund\n\nMuD-Vorhaben setzen voraus, dass ein Verfahren grundsätzlich funktioniert — sie fragen nicht *ob*, sondern *wie* es unter realen Bedingungen in die Breite gebracht werden kann. Charakteristische Merkmale:\n\n- **Modellbetriebe und Pilotflächen** als zentrale Arbeitsformate — Demonstration auf praxisrelevanten Flächen, nicht im kontrollierten Experiment\n- **Akzeptanz und Befähigung** als explizite Ziele: Betriebe sollen umgestellt, Barrieren abgebaut, Wettbewerbsfähigkeit gesichert werden\n- **Regionale Strukturen**: Fachstellen, Querschnittsstellen, Modellregionen mit eingebetteten Akteursnetzwerken (Landnutzer, Behörden, Kommunen)\n- **Wissenstransfer als eigenständiger Output**: Leitfäden, Handlungsempfehlungen, Beratungsangebote, Veranstaltungen, Öffentlichkeitsarbeit\n- **Wissenschaftliche Begleituntersuchungen** sind häufig integriert (THG-Flüsse, Hydrologie, Ökonomie), aber der Charakter bleibt demonstrationsorientiert\n\nDie neueren, großen regionalen MuD-Verbünde sind dreiphasig über ~9 Jahre angelegt und zielen ausdrücklich auf eine Ausstrahlungswirkung weit über die Projektflächen hinaus.\n\n---\n\n### FuE-Vorhaben: Verfahren entwickeln und bewerten\n\nFuE-Vorhaben operieren früher in der Erkenntniskette. Ihr Arbeitsfeld:\n\n- **Charakterisierung von Stoffen und Materialien** (physikalisch, chemisch, biologisch)\n- **Verfahrensentwicklung** mit anschließender Maßstabsvergrößerung vom Labor in den technischen Maßstab\n- **Experimentelle Prüfung**: Anbau-, Keim- und Vegetationsversuche; Entwicklung von Prüf- und Schnelltestmethoden\n- **Ökologische Gesamtbewertung**: Lebenszyklusanalysen, THG-Bilanzen als abschließende Synthese\n- Outputs sind stärker **wissenschaftliche Erkenntnisse, Verfahren, Prototypen** — weniger unmittelbar anwendbare Handlungsempfehlungen\n\n---\n\n### Die Grenze ist fließend — und das ist gewollt\n\nEin wichtiger Befund aus dem Portfolio: Die Trennung ist konzeptionell klar, in der Praxis aber oft unscharf. Verbreitet ist ein **Mischcharakter**:\n\n> Großflächige Demonstration auf realen Standorten, kombiniert mit wissenschaftlichen Begleituntersuchungen zu Treibhausgasbilanzen, Hydrologie, Biodiversität, Nährstoffen und Ökonomie.\n\nInsbesondere die großen regionalen Nassnutzungs-Verbünde verbinden MuD-Logik mit substanzieller Begleitforschung. Das ist kein Konstruktionsfehler, sondern Ausdruck der Förderphilosophie: Demonstration soll wissenschaftlich fundiert sein, und Forschungsergebnisse sollen unmittelbar praxiswirksam werden.\n\n---\n\n### Einordnung ins Gesamtportfolio\n\nDie Portfolioentwicklung zeigt eine erkennbare **Bewegung von FuE in Richtung MuD**: Frühere Vorhaben konzentrierten sich stärker auf Verfahrens- und Grundlagenfragen einzelner Pflanzen oder Substrate; jüngere Bewilligungen (insbesondere ab 2023) setzen verstärkt auf großflächige, mehrphasige, regional verankerte Demonstrations- und Wertschöpfungsvorhaben — begleitet von einem übergeordneten Koordinationsvorhaben, das die MuD-Landschaft vernetzt und Daten zusammenführt.\n\nDas deutet auf eine **reifende Förderlinie** hin: Grundlagenarbeit ist in vielen Themenfeldern weit genug vorangeschritten, um den Schwerpunkt auf Skalierung und Praxistransfer zu verlagern."",""state"":""done""},{""type"":""data-chat-title"",""data"":""MuD- und FuE-Vorhaben im Portfolio""}]"
user,"[{""type"":""text"",""text"":""Wie unterscheiden sich MuD-Vorhaben und FuE-Vorhaben im Portfolio?""}]"
user,"[{""type"":""text"",""text"":""Wir haben eine Webseite: https://moor.fnr.de/\nEinige Podcast sind auf der Seite eingestellt. Auch haben wir eine Fokusseite auf LinkedIn https://www.linkedin.com/showcase/fnr-moor/?trk=affiliated-pages\nWir führen Online-Seminare durch: https://veranstaltungen.fnr.de/moor-seminare/rueckblick\nAuch bieten wir Infografiken an: https://mediathek.fnr.de/poster/okosystemleistungen-des-moores.html und\nhttps://mediathek.fnr.de/poster/klimawirkung-von-moorboden.html\nAuch haben wir eine Bildungsmediathe: https://bildung.fnr.de/thema/moorschutz""}]"
user,"[{""type"":""text"",""text"":""Ich möchte die Lücken und wichtigen Themen genannt haben, damit ich ein Konzept für die weitere Öffentlichkeitsarbeit (online Seminare und Pressemitteilungen vor allem) erstellen kann.""}]"
assistant,"Value is larger than 10,240 characteValue is larger than 10,240 charactersrsValue is larger than 10,240 characters"
user,"[{""type"":""text"",""text"":""Denkst Du noch nach?""}]"
user,"[{""type"":""text"",""text"":""Was sind die Stärken der FNR-Förderung im Bereich Moor?""}]"
